url,finalUrl,ok,okBrowser,status,error
https://autisminternetmodules.org/m/overview,https://autisminternetmodules.org/m/overview,false,false,404,
https://autisticwomenandnonbinarynetwork.org/,https://autisticwomenandnonbinarynetwork.org/,false,false,0,fetch failed
https://childrensnational.org/visit/conditions-and-treatments/a/autism-spectrum-disorder,https://www.childrensnational.org/get-care/conditions-and-treatments/a/autism-spectrum-disorder,false,false,404,
https://dyspraxia.org.au/,https://dyspraxia.org.au/,false,false,0,fetch failed
https://dyspraxiafoundation.org.uk/,https://dyspraxiafoundation.org.uk/,false,false,0,fetch failed
https://education.ucsb.edu/research-faculty/labs/koegel-autism-center,https://education.ucsb.edu/research-faculty/labs/koegel-autism-center,false,false,404,
https://iacc.hhs.gov/publications/strategic-plan/,https://iacc.hhs.gov/publications/strategic-plan/,false,false,403,
https://journals.sagepub.com/home/aut,https://journals.sagepub.com/home/aut,false,true,403,
https://learn.microsoft.com/windows/accessibility/,https://learn.microsoft.com/en-us/windows/accessibility/,false,false,404,
https://medicine.yale.edu/childstudy/clinical-services/autism/,https://medicine.yale.edu/childstudy/clinical-services/autism/,false,false,0,fetch failed
https://neurodiversityfoundation.org/,https://neurodiversityfoundation.org/,false,false,0,fetch failed
https://play.google.com/store/apps/details?id=de.appnotize.letmetalk,https://play.google.com/store/apps/details?id=de.appnotize.letmetalk,false,false,404,
https://raisingchildren.net.au/autism/behaviour,https://raisingchildren.net.au/autism/behaviour,false,false,410,
https://raisingchildren.net.au/autism/therapies-guide,https://raisingchildren.net.au/autism/therapies-guide,false,false,410,
https://researchautism.org/resources/for-individuals-and-families/,https://researchautism.org/resources/for-individuals-and-families/,false,false,404,
https://saltillo.com/products/touchchat,https://saltillo.com/products/touchchat,false,false,404,
https://www.aacap.org/,https://www.aacap.org/,false,true,0,fetch failed
https://www.aane.org/resources/,https://www.aane.org/resources/,false,true,403,
https://www.aimha.ie/resources/,https://www.aimha.ie/resources/,false,false,0,fetch failed
https://www.android.com/accessibility/voice-access/,https://www.android.com/accessibility/voice-access/,false,false,404,
https://www.ani-c.org.au/,https://www.ani-c.org.au/,false,false,0,fetch failed
https://www.aspify.org/,https://www.aspify.org/,false,false,0,fetch failed
https://www.aspinaction.org/resources,https://www.aspinaction.org/resources,false,false,0,fetch failed
https://www.aspireautism.org.uk/,https://www.aspireautism.org.uk/,false,false,0,fetch failed
https://www.autism-alliance.org/,https://www.autism-alliance.org/,false,false,0,fetch failed
https://www.autism-awareness.com/,https://www.autism-awareness.com/,false,false,0,fetch failed
https://www.autism-toolkit.org/,https://www.autism-toolkit.org/,false,false,0,fetch failed
https://www.autism.org.gr/,https://www.autism.org.gr/,false,false,0,fetch failed
https://www.autism.org.hk/,https://www.autism.org.hk/,false,false,0,fetch failed
https://www.autism.org.tr/,https://www.autism.org.tr/,false,false,0,fetch failed
https://www.autism.org.za/associations,https://www.autism.org.za/associations,false,false,404,
https://www.autismage.com/,https://www.autismage.com/,false,false,404,
https://www.autismcyprus.com/,https://www.autismcyprus.com/,false,false,0,fetch failed
https://www.autisme.ch/fr/,https://www.autisme.ch/fr/,false,false,404,
https://www.autisme.dk/,https://www.autisme.dk/,false,false,0,fetch failed
https://www.autisme.se/,https://www.autisme.se/,false,false,0,fetch failed
https://www.autismkorea.kr/,https://www.autismkorea.kr/,false,false,0,fetch failed
https://www.autismresourcecentre.sg/,https://www.autismresourcecentre.sg/,false,false,0,fetch failed
https://www.autismsociety.gr/,https://www.autismsociety.gr/,false,false,0,fetch failed
https://www.autismsocietyphilippines.org/,https://www.autismsocietyphilippines.org/,false,false,0,fetch failed
https://www.autismsouthafrica.org/,https://www.autismsouthafrica.org/,false,false,0,fetch failed
https://www.autizmo.pl/,https://www.autizmo.pl/,false,false,0,fetch failed
https://www.boardmaker.com/,https://www.boardmaker.com/,false,true,0,fetch failed
https://www.calm.com/,https://www.calm.com/,false,true,403,
https://www.cam.ac.uk/research/centres-and-units/autism-research-trust,https://www.cam.ac.uk/research/centres-and-units/autism-research-trust,false,false,404,
https://www.childrenscolorado.org/conditions-and-advice/conditions-and-symptoms/a-z/,https://www.childrenscolorado.org/conditions-and-advice/conditions-and-symptoms/a-z/,false,false,404,
https://www.citizensinformation.ie/en/health/health-services/disability-services/autism/,https://www.citizensinformation.ie/en/health/health-services/disability-services/autism/,false,false,403,
https://www.destinationautism.org/ (Destination Autism - verify),https://www.destinationautism.org/ (Destination Autism - verify),false,false,0,fetch failed
https://www.dyscalculia.org.uk/,https://www.dyscalculia.org.uk/,false,false,0,fetch failed
https://www.dyslexiaaustralia.org.au/,https://www.dyslexiaaustralia.org.au/,false,false,0,fetch failed
https://www.eani.org.uk/parents/supporting-learning/special-educational-needs-sen/types-of-special-educational-needs/autism,https://www.eani.org.uk/parents/supporting-learning/special-educational-needs-sen/types-of-special-educational-needs/autism,false,false,404,
https://www.health.govt.nz/your-health,https://www.health.govt.nz/your-health,false,false,404,
https://www.hopkinsmedicine.org/health/conditions-and-diseases/autism,https://www.hopkinsmedicine.org/health/conditions-and-diseases/autism,false,false,404,
https://www.icdl.com/what-is-floortime,https://www.icdl.com/what-is-floortime,false,false,404,
https://www.massgeneral.org/psychiatry/conditions-and-treatments/autism-spectrum-disorder,https://www.massgeneral.org/psychiatry/conditions-and-treatments/autism-spectrum-disorder,false,false,404,
https://www.mededportal.org/search/?q=autism,https://www.mededportal.org/search/?q=autism,false,false,403,
https://www.microsoft.com/en-us/ability/,https://www.microsoft.com/en-us/ability/,false,false,404,
